,AD09X,ASX,BNDGLB,CY00,DWCF,GECU10YR,GUKG10,HFRXAR,IADMGOLD,IBOXIG,IDCOTCTR,LBUSTRUU,MXASJ,MXEF,MXEU,MXUSMC,NDEUCHF,RTY,SPBDU1ST,SPGSCI,SPGTIND,SPLPEQTY,SPVXSTR,SPX,SREITGL,STCGUSRE,TPX,TRVCI,U0A0
AD09X,0.0025835552321405606,0.0016726416100518674,0.00012560519287993505,0.00033129435443557604,0.0018599987149340892,0.0036596958988963438,0.0029518407689405274,0.00016600153984947977,0.0004286512234388962,0.00037995803344496545,-0.00016259509227432547,4.078194512711137e-05,0.0027455183899046127,0.0029300235081463686,0.0017582105028972382,0.0021326841131289426,0.0029358835465401936,0.00214969459335113,0.00015570693705059557,0.0018394166992563971,0.0020238683380449088,0.003146529126223972,-0.006962196945852643,0.0018020072956958528,0.0022429499623500765,0.0022188435891987175,0.0019012439143539007,0.002118129457761857,6.613099387345945e-05
ASX,0.0016726416100518674,0.0014902597091000515,2.0569180253559196e-05,0.00019732835024124966,0.001379226574061584,0.0024901195516160877,0.0017309659821525586,0.0001404754449632185,4.923217578971516e-05,0.0002529329062244025,-0.00013634113011296673,5.967722759572446e-06,0.0017389719459015825,0.0018549991558077144,0.0014758113994318175,0.0015610988817314829,0.0019174971236272029,0.0015643305689056776,1.3825191142241534e-05,0.0008948666982130387,0.0013252127905772535,0.002024280620815319,-0.004777265206060432,0.0013470480998469545,0.00147470619103717,0.0015357396960284059,0.0012150978042578813,0.0016286227429441803,8.456160856053492e-05
BNDGLB,0.00012560519287993505,2.0569180253559196e-05,0.0001588353015474144,0.00015811557356827937,-5.641742517536129e-06,-0.0015434872227237076,-0.0019854928193424417,-1.80136718938678e-06,0.000366543710719238,0.00019491553662731348,0.00013405839972469152,0.00011836306031670166,0.00018331552914090105,0.0001752442065101071,-5.659242302488334e-05,1.1652273597834616e-05,0.00016018920205881823,-4.215313922292068e-05,0.0002233977534243199,3.275081420916912e-05,0.00017805714321431998,4.8123007259788324e-05,5.791292425313066e-05,-2.76868026777775e-06,0.00023498491199475238,0.00022028247881276104,-0.00011846166361901753,-0.00011186123617313205,7.102623603601889e-05
CY00,0.00033129435443557604,0.00019732835024124966,0.00015811557356827937,0.00022690122260669447,0.00016231063556543132,-0.001268355532184166,-0.0017457316780591326,2.6503170615035843e-05,0.0003607788281581889,0.00027751960659640575,0.00010837318952180351,0.0001291457317431202,0.00043856408608218913,0.0004389380333576859,0.00016498461296549736,0.00023367495920427478,0.0004439978398443034,0.00016659845069899286,0.00024116457108774828,0.00016309560513169907,0.00033318341140518235,0.0003085602215491009,-0.0006450297308520257,0.00015346166685705696,0.00045003251403105535,0.00045259251246248177,0.00013120528608831242,8.256201422088783e-05,0.00010654053421266161
DWCF,0.0018599987149340892,0.001379226574061584,-5.641742517536129e-06,0.00016231063556543132,0.0017683331226761028,0.0034290807878110505,0.00300365823528797,0.00014265373271174164,-4.747022527761994e-05,0.00019651346963495787,-0.0002007424714920465,-3.405262611847298e-05,0.001903605225735462,0.002051753093919733,0.0014700634640951807,0.0019768631879969224,0.001988586497824149,0.0021021858336620243,-1.4698673900807059e-05,0.0012317978209288088,0.0014843454767072435,0.002570767444457449,-0.0061142882888860816,0.0017185741835601764,0.0018179731576200204,0.0020111155589291525,0.0014075810293431162,0.002048088095927079,4.7712100181608424e-05
GECU10YR,0.0036596958988963438,0.0024901195516160877,-0.0015434872227237076,-0.001268355532184166,0.0034290807878110505,0.04011090886247913,0.039161271567283,0.00026269005810552885,-0.0018118780650958396,-0.0016235572041923677,-0.0020369808167171656,-0.0013958319700983876,0.0028306939166793193,0.0037507887921500037,0.0028116360691362785,0.0039176587126083014,0.003159391962410121,0.004306724415103014,-0.002223692728839321,0.005103368998856621,0.002181755538075059,0.005022471398006916,-0.013543460599246042,0.003269893462487755,0.0012904028008285785,0.0011555521118247578,0.0036579440879198058,0.00407963751980135,-0.0007998108903937278
GUKG10,0.0029518407689405274,0.0017309659821525586,-0.0019854928193424417,-0.0017457316780591326,0.00300365823528797,0.039161271567283,0.056192993639663055,0.00024611827440835057,-0.003309200294875186,-0.0021706093192426054,-0.002654929697300354,-0.0018513706328858557,0.001966859980266517,0.0028420252415203035,0.002629600912157237,0.0034626777680392302,0.00242601828080332,0.0038314142414555222,-0.003183249397044996,0.005631231078746444,0.0010183052915966838,0.0043891777813929115,-0.01364331195598293,0.002822923230496007,2.095811245481598e-06,-0.00018310477031468646,0.004116997550773468,0.004176644235016834,-0.001018077819454997
HFRXAR,0.00016600153984947977,0.0001404754449632185,-1.80136718938678e-06,2.6503170615035843e-05,0.00014265373271174164,0.00026269005810552885,0.00024611827440835057,5.6883027331322675e-05,2.5590921798392216e-05,3.141361061698723e-05,-1.369837547652252e-05,1.784159015797955e-06,0.0001849001716517624,0.00020106290823784865,0.00014831210282400902,0.0001795349266630876,0.00017581195369159008,0.00016422970987363462,1.4961039690906325e-05,0.00013910334542802786,0.00012939119324886515,0.0002128668365528418,-0.0006035311454364327,0.00013385410314367205,0.00013606090540471102,0.00013972158436250677,0.00016900471982677156,0.00018998299318452225,1.281356947510466e-05
IADMGOLD,0.0004286512234388962,4.923217578971516e-05,0.000366543710719238,0.0003607788281581889,-4.747022527761994e-05,-0.0018118780650958396,-0.003309200294875186,2.5590921798392216e-05,0.0030389109075012115,0.0004036244249827041,0.00025294546380377476,0.0002592548988299591,0.0007446346212681076,0.0008248405326029024,-0.0002846466180392623,0.0001202853280836307,0.0006916447058801138,-9.779007091850506e-06,0.0005993614582265137,0.0011543391544444636,0.0004346774910253062,0.00020001560861090573,-0.0005956233374595763,-8.496737491167414e-05,0.0006643534083446937,0.00048695760557127834,-0.0004450900916225837,-0.00014113437530127964,0.0001475268041963686
IBOXIG,0.00037995803344496545,0.0002529329062244025,0.00019491553662731348,0.00027751960659640575,0.00019651346963495787,-0.0016235572041923677,-0.0021706093192426054,3.141361061698723e-05,0.0004036244249827041,0.00036886428512721144,0.00013437421146514264,0.0001566316956390376,0.0005197536773906073,0.0005103014019038048,0.00020157091669572864,0.00027654682716259484,0.0005418970840903039,0.0001927194323920163,0.00027814569026291436,9.764400610128929e-05,0.0003947131447179062,0.0002817038559903794,-0.0007268262847238639,0.00018820470178490477,0.00050810119954196,0.0005280992929246338,0.00013012979088447205,0.00010752945152480002,0.00013695148790146783
IDCOTCTR,-0.00016259509227432547,-0.00013634113011296673,0.00013405839972469152,0.00010837318952180351,-0.0002007424714920465,-0.0020369808167171656,-0.002654929697300354,-1.369837547652252e-05,0.00025294546380377476,0.00013437421146514264,0.000169645674337426,0.00011631083653747402,-0.00013752372724602045,-0.00017748085054799365,-0.0002074146905266195,-0.00022065073098030645,-0.00016730302026484335,-0.00026562027406943836,0.00020605591542313903,-0.0002900150249380168,-5.314556220293054e-05,-0.0002877461694552353,0.0009041318807988322,-0.00018913100818225098,-2.0369964892486102e-05,-2.7091604326068465e-05,-0.0002608379230622985,-0.00031444724992541677,5.2639420703741005e-05
LBUSTRUU,4.078194512711137e-05,5.967722759572446e-06,0.00011836306031670166,0.0001291457317431202,-3.405262611847298e-05,-0.0013958319700983876,-0.0018513706328858557,1.784159015797955e-06,0.0002592548988299591,0.0001566316956390376,0.00011631083653747402,0.00010168667555651337,9.404218223032773e-05,7.352094093364189e-05,-3.402766149356139e-05,-1.723063049969161e-05,7.210452647326906e-05,-6.050290526857009e-05,0.00018136588984067742,-8.245582940033302e-05,9.747306135196934e-05,-1.0772806191855073e-05,0.000177541414812581,-3.225005176678687e-05,0.00016978371458843146,0.00017359254031886495,-7.868950028371554e-05,-0.00011064003832519828,6.73998110479781e-05
MXASJ,0.0027455183899046127,0.0017389719459015825,0.00018331552914090105,0.00043856408608218913,0.001903605225735462,0.0028306939166793193,0.001966859980266517,0.0001849001716517624,0.0007446346212681076,0.0005197536773906073,-0.00013752372724602045,9.404218223032773e-05,0.003811499517650285,0.0038620164284640774,0.0018058215914402826,0.0021999197422189767,0.0043440179976442055,0.0021830027992755857,0.0002694107000248158,0.002217240055823707,0.0021755123317864257,0.0032711277670521115,-0.006919493377070825,0.0018396876453328844,0.002303391590257049,0.002226221694819709,0.0018835416064757844,0.002301123878085117,0.000127947494921557
MXEF,0.0029300235081463686,0.0018549991558077144,0.0001752442065101071,0.0004389380333576859,0.002051753093919733,0.0037507887921500037,0.0028420252415203035,0.00020106290823784865,0.0008248405326029024,0.0005103014019038048,-0.00017748085054799365,7.352094093364189e-05,0.0038620164284640774,0.004096478470274279,0.0018673093015217051,0.002393808356720302,0.004329471301601147,0.002360192125277864,0.0002831395303666676,0.00264635145123547,0.0023584104021013375,0.0034979860271289595,-0.0073854341624416345,0.001979280531514833,0.0024010394997051074,0.002287447332441247,0.001931164813861356,0.0023805671435088776,0.00011853002623054994
MXEU,0.0017582105028972382,0.0014758113994318175,-5.659242302488334e-05,0.00016498461296549736,0.0014700634640951807,0.0028116360691362785,0.002629600912157237,0.00014831210282400902,-0.0002846466180392623,0.00020157091669572864,-0.0002074146905266195,-3.402766149356139e-05,0.0018058215914402826,0.0018673093015217051,0.0018504562158944472,0.0016499176109596387,0.0019805936141030493,0.0017139009065753178,-6.0037822555308366e-05,0.0007615510700972694,0.001316840146919164,0.002325204776883049,-0.0051605877172439096,0.0014269818456340106,0.0015909997173538795,0.0017027141975992166,0.0015163677483838885,0.0017801619950259594,7.503374284980895e-05
MXUSMC,0.0021326841131289426,0.0015610988817314829,1.1652273597834616e-05,0.00023367495920427478,0.0019768631879969224,0.0039176587126083014,0.0034626777680392302,0.0001795349266630876,0.0001202853280836307,0.00027654682716259484,-0.00022065073098030645,-1.723063049969161e-05,0.0021999197422189767,0.002393808356720302,0.0016499176109596387,0.002335845053355074,0.00219514067535784,0.0024337730658102056,3.099658059039463e-05,0.0015508385640732357,0.0016914371005161796,0.0029698469912414396,-0.006895777399775418,0.0018927234549954404,0.0021665776479468345,0.0024021462113343814,0.0016338415977404973,0.0022831332463415337,8.79689568704134e-05
NDEUCHF,0.0029358835465401936,0.0019174971236272029,0.00016018920205881823,0.0004439978398443034,0.001988586497824149,0.003159391962410121,0.00242601828080332,0.00017581195369159008,0.0006916447058801138,0.0005418970840903039,-0.00016730302026484335,7.210452647326906e-05,0.0043440179976442055,0.004329471301601147,0.0019805936141030493,0.00219514067535784,0.006115715244697017,0.002206217069570843,0.00017280914061615262,0.0023216951743255773,0.0022710197543484153,0.0031658482606607505,-0.006989346053847054,0.001946421048050157,0.0020085545513668706,0.001720305342943555,0.002139825922794565,0.002536857276427471,4.6406827045509676e-05
RTY,0.00214969459335113,0.0015643305689056776,-4.215313922292068e-05,0.00016659845069899286,0.0021021858336620243,0.004306724415103014,0.0038314142414555222,0.00016422970987363462,-9.779007091850506e-06,0.0001927194323920163,-0.00026562027406943836,-6.050290526857009e-05,0.0021830027992755857,0.002360192125277864,0.0017139009065753178,0.0024337730658102056,0.002206217069570843,0.0028443486600136375,-6.464338957337795e-05,0.0014030581006713885,0.001672573423378306,0.003273549765545028,-0.007142525593406819,0.001991942877247769,0.002297455910446322,0.002622398070636378,0.0017031229943895855,0.002382749646852429,2.853115805835075e-05
SPBDU1ST,0.00015570693705059557,1.3825191142241534e-05,0.0002233977534243199,0.00024116457108774828,-1.4698673900807059e-05,-0.002223692728839321,-0.003183249397044996,1.4961039690906325e-05,0.0005993614582265137,0.00027814569026291436,0.00020605591542313903,0.00018136588984067742,0.0002694107000248158,0.0002831395303666676,-6.0037822555308366e-05,3.099658059039463e-05,0.00017280914061615262,-6.464338957337795e-05,0.00046475422010273763,0.00015242088300424617,0.00023945275043101897,0.00012444186503549198,0.0001554882165656942,-1.6840107666201978e-05,0.00035448909463690924,0.00033026816880669604,-0.00016149003868054632,-0.0001540903008563242,0.00012419727252588894
SPGSCI,0.0018394166992563971,0.0008948666982130387,3.275081420916912e-05,0.00016309560513169907,0.0012317978209288088,0.005103368998856621,0.005631231078746444,0.00013910334542802786,0.0011543391544444636,9.764400610128929e-05,-0.0002900150249380168,-8.245582940033302e-05,0.002217240055823707,0.00264635145123547,0.0007615510700972694,0.0015508385640732357,0.0023216951743255773,0.0014030581006713885,0.00015242088300424617,0.004514834028519401,0.0014509409201110151,0.00227161200106338,-0.005514358915580527,0.0011570154878176018,0.001069654399894147,0.0007953308680264811,0.0009143798157313788,0.0014628996862002983,-5.1186531304120444e-05
SPGTIND,0.0020238683380449088,0.0013252127905772535,0.00017805714321431998,0.00033318341140518235,0.0014843454767072435,0.002181755538075059,0.0010183052915966838,0.00012939119324886515,0.0004346774910253062,0.0003947131447179062,-5.314556220293054e-05,9.747306135196934e-05,0.0021755123317864257,0.0023584104021013375,0.001316840146919164,0.0016914371005161796,0.0022710197543484153,0.001672573423378306,0.00023945275043101897,0.0014509409201110151,0.001873305391604781,0.002496318380783129,-0.005434237917136729,0.0014461219938421,0.0019621044224191345,0.0019838998122672755,0.001326253906778068,0.0016051554728179142,9.665562060010321e-05
SPLPEQTY,0.003146529126223972,0.002024280620815319,4.8123007259788324e-05,0.0003085602215491009,0.002570767444457449,0.005022471398006916,0.0043891777813929115,0.0002128668365528418,0.00020001560861090573,0.0002817038559903794,-0.0002877461694552353,-1.0772806191855073e-05,0.0032711277670521115,0.0034979860271289595,0.002325204776883049,0.0029698469912414396,0.0031658482606607505,0.003273549765545028,0.00012444186503549198,0.00227161200106338,0.002496318380783129,0.005232686162467935,-0.008781842986095176,0.002447080137659689,0.0034468224758067677,0.0037330698127866387,0.0024544204490890235,0.0025442394888187028,6.14281094674702e-05
SPVXSTR,-0.006962196945852643,-0.004777265206060432,5.791292425313066e-05,-0.0006450297308520257,-0.0061142882888860816,-0.013543460599246042,-0.01364331195598293,-0.0006035311454364327,-0.0005956233374595763,-0.0007268262847238639,0.0009041318807988322,0.000177541414812581,-0.006919493377070825,-0.0073854341624416345,-0.0051605877172439096,-0.006895777399775418,-0.006989346053847054,-0.007142525593406819,0.0001554882165656942,-0.005514358915580527,-0.005434237917136729,-0.008781842986095176,0.033461816294218454,-0.005904662587751625,-0.006480200489401913,-0.006747834921995068,-0.005929787991830521,-0.007859442286071442,-0.00018643104987803194
SPX,0.0018020072956958528,0.0013470480998469545,-2.76868026777775e-06,0.00015346166685705696,0.0017185741835601764,0.003269893462487755,0.002822923230496007,0.00013385410314367205,-8.496737491167414e-05,0.00018820470178490477,-0.00018913100818225098,-3.225005176678687e-05,0.0018396876453328844,0.001979280531514833,0.0014269818456340106,0.0018927234549954404,0.001946421048050157,0.001991942877247769,-1.6840107666201978e-05,0.0011570154878176018,0.0014461219938421,0.002447080137659689,-0.005904662587751625,0.001681701984656967,0.001732405627548113,0.0019093393605374102,0.0013497378935941541,0.001992688048315453,4.432186380247095e-05
SREITGL,0.0022429499623500765,0.00147470619103717,0.00023498491199475238,0.00045003251403105535,0.0018179731576200204,0.0012904028008285785,2.095811245481598e-06,0.00013606090540471102,0.0006643534083446937,0.00050810119954196,-2.0369964892486102e-05,0.00016978371458843146,0.002303391590257049,0.0024010394997051074,0.0015909997173538795,0.0021665776479468345,0.0020085545513668706,0.002297455910446322,0.00035448909463690924,0.001069654399894147,0.0019621044224191345,0.0034468224758067677,-0.006480200489401913,0.001732405627548113,0.00335646084178535,0.003835417729614728,0.0015152756665881531,0.0017466906112233666,0.00019948936828496601
STCGUSRE,0.0022188435891987175,0.0015357396960284059,0.00022028247881276104,0.00045259251246248177,0.0020111155589291525,0.0011555521118247578,-0.00018310477031468646,0.00013972158436250677,0.00048695760557127834,0.0005280992929246338,-2.7091604326068465e-05,0.00017359254031886495,0.002226221694819709,0.002287447332441247,0.0017027141975992166,0.0024021462113343814,0.001720305342943555,0.002622398070636378,0.00033026816880669604,0.0007953308680264811,0.0019838998122672755,0.0037330698127866387,-0.006747834921995068,0.0019093393605374102,0.003835417729614728,0.004701522914994689,0.0014960466272027648,0.0019825119217452953,0.00024256729069277967
TPX,0.0019012439143539007,0.0012150978042578813,-0.00011846166361901753,0.00013120528608831242,0.0014075810293431162,0.0036579440879198058,0.004116997550773468,0.00016900471982677156,-0.0004450900916225837,0.00013012979088447205,-0.0002608379230622985,-7.868950028371554e-05,0.0018835416064757844,0.001931164813861356,0.0015163677483838885,0.0016338415977404973,0.002139825922794565,0.0017031229943895855,-0.00016149003868054632,0.0009143798157313788,0.001326253906778068,0.0024544204490890235,-0.005929787991830521,0.0013497378935941541,0.0015152756665881531,0.0014960466272027648,0.0028285436811057814,0.0018713005338777259,-4.240720555475775e-05
TRVCI,0.002118129457761857,0.0016286227429441803,-0.00011186123617313205,8.256201422088783e-05,0.002048088095927079,0.00407963751980135,0.004176644235016834,0.00018998299318452225,-0.00014113437530127964,0.00010752945152480002,-0.00031444724992541677,-0.00011064003832519828,0.002301123878085117,0.0023805671435088776,0.0017801619950259594,0.0022831332463415337,0.002536857276427471,0.002382749646852429,-0.0001540903008563242,0.0014628996862002983,0.0016051554728179142,0.0025442394888187028,-0.007859442286071442,0.001992688048315453,0.0017466906112233666,0.0019825119217452953,0.0018713005338777259,0.00402027593912831,5.5408880994511395e-05
U0A0,6.613099387345945e-05,8.456160856053492e-05,7.102623603601889e-05,0.00010654053421266161,4.7712100181608424e-05,-0.0007998108903937278,-0.001018077819454997,1.281356947510466e-05,0.0001475268041963686,0.00013695148790146783,5.2639420703741005e-05,6.73998110479781e-05,0.000127947494921557,0.00011853002623054994,7.503374284980895e-05,8.79689568704134e-05,4.6406827045509676e-05,2.853115805835075e-05,0.00012419727252588894,-5.1186531304120444e-05,9.665562060010321e-05,6.14281094674702e-05,-0.00018643104987803194,4.432186380247095e-05,0.00019948936828496601,0.00024256729069277967,-4.240720555475775e-05,5.5408880994511395e-05,0.0001640862336472873
